time,position/setpoint,position/feedback
1777045630.4263606,4.0,3.693012835669559
1777045630.4306505,4.0,3.728366626643247
1777045630.4349408,4.0,3.763788200239437
1777045630.4392712,4.0,3.7992765405046462
1777045630.4436016,4.0,3.8348306449162344
1777045630.447878,4.0,3.8704495242615997
1777045630.4521592,4.0,3.906132202516569
1777045630.456493,4.0,3.941877716723058
1777045630.4608033,4.0,3.9776851168660867
1777045630.4652956,4.0,4.013553465750218
1777045630.469794,4.0,4.0494818388755
1777045630.474279,4.0,4.085469324312981
1777045630.4788096,4.0,4.121515022579863
1777045630.4831517,4.0,4.157618046514369
1777045630.4874961,4.0,4.193777521150375
1777045630.4918451,4.0,4.2299925835918835
1777045630.4962895,4.0,4.266262382887384
1777045630.5006258,4.0,4.302586079904174
1777045630.5049376,4.0,4.338962847202678
1777045630.5092132,4.0,4.375385938347354
1777045630.5135138,4.0,4.411796933755511
1777045630.5178635,4.0,4.44814288222824
1777045630.5222385,4.0,4.484375834459342
1777045630.526579,4.0,4.520452412998315
1777045630.5309584,4.0,4.556333416584074
1777045630.5353343,4.0,4.591983456718334
1777045630.539726,4.0,4.627370624346363
1777045630.5440366,4.0,4.662466184547051
1777045630.548373,4.0,4.697244297194787
1777045630.5527484,4.0,4.731681761635149
1777045630.5571249,4.0,4.765757783508803
1777045630.561388,4.0,4.799453761958712
1777045630.5656707,4.0,4.832753095560784
1777045630.5699823,4.0,4.865641005424824
1777045630.5742645,4.0,4.898104374018647
1777045630.5785418,4.0,4.930131598371934
1777045630.5828276,4.0,4.961712456416671
1777045630.587114,4.0,4.992837985316904
1777045630.5914228,4.0,5.023500370731527
1777045630.595738,4.0,5.053692846039673
1777045630.6000354,4.0,5.0834096006386815
1777045630.6042938,4.0,5.112645696499669
1777045630.6085691,4.0,5.141396992235482
1777045630.6128428,4.0,5.169660074000404
1777045630.6171238,4.0,5.197432192600633
1777045630.621412,4.0,5.224711206249441
1777045630.6256979,4.0,5.2514955284514615
1777045630.6299875,4.0,5.277784080546801
1777045630.634277,4.0,5.3035762484880715
1777045630.638574,4.0,5.32887184346222
1777045630.6428895,4.0,5.353671163126649
1777045630.647197,4.0,5.377979593217972
1777045630.6515229,4.0,5.401802364107296
1777045630.6560178,4.0,5.425144555582754
1777045630.660285,4.0,5.448011101429185
1777045630.6645622,4.0,5.470406793814732
1777045630.6688516,4.0,5.4923362874935835
1777045630.6731226,4.0,5.513804103833545
1777045630.6773953,4.0,5.5348146346766525
1777045630.681686,4.0,5.555372146040574
1777045630.686009,4.0,5.575480781668107
1777045630.6902838,4.0,5.595144566431702
1777045630.6946058,4.0,5.6143674095995255
1777045630.6988893,4.0,5.633153107969263
1777045630.703422,4.0,5.651505348875489
1777045630.7078543,4.0,5.669427713076148
1777045630.7122037,4.0,5.686923677523376
1777045630.7167764,4.0,5.703996618023622
1777045630.7210763,4.0,5.7206498117917635
1777045630.725623,4.0,5.736886439903674
1777045630.729993,4.0,5.752709589651446
1777045630.7342753,4.0,5.768122256805285
1777045630.7385633,4.0,5.783127347785848
1777045630.7428894,4.0,5.797727681750637
1777045630.7472138,4.0,5.811925992597858
1777045630.7515526,4.0,5.825724930890967
1777045630.755908,4.0,5.8391270657070065
1777045630.7602096,4.0,5.852134886411617
1777045630.7645016,4.0,5.864750804363522
1777045630.7687912,4.0,5.876977154551092
1777045630.7730713,4.0,5.888816197163501
1777045630.7775724,4.0,5.900270119098848
1777045630.7818801,4.0,5.911341035411487
1777045630.7862394,4.0,5.922030990700709
1777045630.7905793,4.0,5.932341960442818
1777045630.794923,4.0,5.942275852268515
1777045630.7992308,4.0,5.95183450718744
1777045630.803545,4.0,5.961019700761606
1777045630.8078318,4.0,5.969833144229373
1777045630.8122199,4.0,5.978276485581541
1777045630.8165429,4.0,5.986351310591057
1777045630.8209188,4.0,5.994059143797722
1777045630.8253717,4.0,6.001401449449278
1777045630.8301172,4.0,6.008379632400112
1777045630.8344371,4.0,6.014995038968807
1777045630.8390381,4.0,6.021248957755657
1777045630.8434014,4.0,6.027142620421258
1777045630.8480194,4.0,6.032677202427159
1777045630.852586,4.0,6.03785382373957
1777045630.8570442,4.0,6.042673549497023
1777045630.8615003,4.0,6.047137390642846
1777045630.8658836,4.0,6.051246304523271
1777045630.8703797,4.0,6.0550011954519185
1777045630.8749485,4.0,6.058402915241392
1777045630.8796542,4.0,6.061452263702647
1777045630.8841758,4.0,6.064149989112755
1777045630.888649,4.0,6.066496788651654
1777045630.8930712,4.0,6.068493308808433
1777045630.8975532,4.0,6.070140145757646
1777045630.9021232,4.0,6.071446642678652
1777045630.9066522,4.0,6.072421849997988
1777045630.911075,4.0,6.07307445821049
1777045630.9153705,4.0,6.073412822595717
1777045630.9196682,4.0,6.073444985964805
1777045630.9239898,4.0,6.07317869960207
1777045630.9282851,4.0,6.07262147091448
1777045630.9325519,4.0,6.071780617889695
